label,SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%)
KOMATIITE,45.07,0.45,8.98,10.77,9.19,22.41,0.22,0.03,0.4,0.06
KOMATIITE,47.99,0.29,5.96,7.82,6.55,28.71,0.13,0.01,0.25,0.05
KOMATIITE,45.35,0.3,6.18,9.21,5.83,30.32,0.18,0.01,0.19,0.04
KOMATIITE,46.08,0.27,5.12,8.6,4.74,32.45,0.18,0.01,0.16,0.03
ANDESITE,58.6,1.61,12.83,11.53,6.52,4.87,0.2,0.16,2.51,0.16
THOLEIITE,49.9,1.18,15.28,9.83,10.1,7.77,0.24,1.12,3.16,0.1
THOLEIITE,50.8,1.23,15.8,12.76,8.14,7.95,0.21,0.04,1.28,0.08
THOLEIITE,56.6,0.89,17.41,6.45,12.3,4.2,0.14,0.25,1.6,0.06
THOLEIITE,56.4,0.99,14.74,8.4,13.2,2.75,0.16,0.07,1.65,0.16
ANDESITE,57.3,1.82,12.33,12.73,5.68,4.1,0.2,0.2,3.73,0.19
ANDESITE,55.0,1.32,13.8,11.82,7.66,6.05,0.2,0.22,3.1,0.13
ANDESITE,57.5,1.18,12.8,11.82,10.7,6.11,0.24,0.11,1.48,0.13
ANDESITE,57.5,1.64,12.89,11.84,7.87,3.41,0.22,0.49,1.89,0.17
ANDESITE,55.5,1.7,13.15,14.58,6.17,3.57,0.26,0.51,2.37,0.2
ANDESITE,63.7,1.78,11.69,14.23,0.21,8.34,0.15,0.06,0.03,0.19
ANDESITE,59.2,2.06,13.9,8.9,8.53,2.41,0.18,0.59,3.54,0.33
ANDESITE,54.6,1.8,16.22,15.21,0.3,8.47,0.17,1.2,0.21,0.23
GABBRO,51.2,0.43,16.6,8.6,11.88,9.38,0.17,0.05,1.18,0.03
GABBRO,55.0,0.24,21.38,5.66,10.24,4.89,0.1,0.1,2.33,0.04
ANDESITE,55.67,0.84,16.18,6.11,7.93,5.78,0.13,0.56,3.18,0.2
ANDESITE,62.6,0.94,14.98,7.39,2.89,3.33,0.09,0.52,5.5,0.22
ANDESITE,58.69,0.87,14.62,7.32,5.79,3.19,0.12,0.7,4.01,0.22
ANDESITE,59.41,0.72,11.85,5.93,6.48,1.41,0.11,2.82,1.79,0.18
DACITE,65.15,0.6,13.57,4.88,2.13,1.63,0.08,0.92,5.37,0.18
RHYOLITE,74.62,0.9,18.05,1.46,0.29,0.32,0.03,0.16,0.21,0.24
RHYOLITE,76.53,0.23,9.65,3.4,2.51,1.18,0.12,1.6,1.09,0.04
RHYOLITE,75.7,0.24,11.68,2.99,0.46,0.48,0.03,1.38,5.11,0.06
RHYOLITE,75.74,0.17,13.06,1.27,0.12,0.48,0.02,7.12,0.17,0.06
RHYOLITE,75.23,0.17,10.65,1.12,4.11,0.28,0.05,2.16,2.63,0.04
RHYOLITE,76.38,0.14,10.86,2.11,0.42,0.64,0.04,7.28,0.3,0.04
RHYOLITE,71.11,0.06,11.7,1.58,4.0,0.64,0.08,2.88,3.6,0.06
RHYOLITE,75.03,0.04,11.78,1.03,2.53,0.45,0.03,1.86,3.41,0.06
RHYOLITE,75.42,0.06,12.98,1.16,0.23,0.31,0.01,4.66,2.62,0.04
RHYOLITE,76.12,0.26,12.67,2.19,0.1,0.2,0.03,2.12,3.56,0.08
RHYOLITE,72.54,0.25,12.81,2.12,2.62,1.28,0.05,2.7,2.06,0.08
ANDESITE,55.42,0.67,13.72,5.47,6.41,2.77,0.09,2.02,2.47,0.16
ANDESITE,60.57,0.62,14.06,5.07,4.78,2.71,0.1,1.6,1.82,0.16
DACITE,67.32,0.64,15.14,4.89,2.11,1.36,0.07,1.26,4.0,0.2
RHYOLITE,76.0,0.23,10.01,3.21,1.42,0.92,0.11,2.26,0.67,0.06
GABBRO,50.2,1.17,17.02,12.47,8.73,4.7,0.14,1.47,3.81,0.25
GABBRO,53.1,0.282,12.86,6.76,1.4,12.6,0.15,1.16,1.41,0.05
GABBRO,54.4,1.08,18.0,7.46,7.39,6.48,0.12,0.5,4.38,0.11
KOMATIITE,44.0,0.158,3.05,8.28,0.1,43.6,0.15,0.0,0.06,0.0
KOMATIITE,49.5,0.274,5.14,10.5,8.8,25.2,0.14,0.0,0.0,0.02
KOMATIITE,44.2,0.236,4.83,11.5,2.83,35.5,0.17,0.0,0.0,0.02
KOMATIITE,45.9,0.373,6.98,12.2,7.22,26.5,0.15,0.01,0.06,0.03
KOMATIITE,45.1,0.264,5.63,11.2,4.43,32.6,0.18,0.03,0.0,0.02
KOMATIITE,45.5,0.353,7.23,12.0,6.72,27.1,0.19,0.07,0.21,0.04
KOMATIITE,53.7,0.647,13.1,10.4,6.38,12.0,0.15,0.01,3.3,0.09
KOMATIITE,52.5,0.524,10.6,10.3,7.86,15.8,0.16,0.01,2.0,0.06
KOMATIITE,49.5,0.274,5.14,10.5,8.8,25.2,0.14,0.0,0.0,0.02
KOMATIITE,45.7,0.294,6.15,11.2,5.46,30.5,0.16,0.03,0.0,0.05
KOMATIITE,45.2,0.419,8.43,12.7,7.73,24.3,0.21,0.01,0.37,0.06
KOMATIITE,45.3,0.374,7.52,12.1,7.65,25.9,0.2,0.0,0.27,0.04
KOMATIITE,44.6,0.396,8.27,12.9,6.43,26.4,0.2,0.0,0.13,0.04
KOMATIITE,54.2,0.528,11.2,9.79,6.07,14.2,0.14,0.01,3.35,0.08
KOMATIITE,45.07,0.47,8.79,10.99,5.69,27.3,0.2,0.03,0.0,0.03
KOMATIITE,47.35,0.38,7.32,9.28,6.26,27.91,0.19,0.03,0.0,0.02
KOMATIITE,47.28,0.41,7.35,11.35,2.37,29.58,0.14,0.0,0.0,0.03
KOMATIITE,42.93,0.52,9.71,12.08,4.73,28.0,0.21,0.01,0.0,0.03
KOMATIITE,46.45,0.46,7.76,11.03,3.99,28.55,0.18,0.01,0.0,0.03
KOMATIITE,54.08,0.26,3.65,7.76,3.39,29.77,0.1,0.0,0.0,0.02
KOMATIITE,50.69,0.19,3.97,7.84,6.15,29.81,0.1,0.0,0.0,0.02
KOMATIITE,46.28,0.18,3.39,7.34,5.61,35.72,0.12,0.0,0.0,0.02
KOMATIITE,46.23,0.16,2.95,6.33,8.86,34.0,0.14,0.0,0.0,0.01
KOMATIITE,45.73,0.14,2.46,5.55,12.73,31.8,0.16,0.0,0.0,0.01
KOMATIITE,49.55,0.29,6.9,9.18,5.28,27.44,0.17,0.02,0.0,0.02
KOMATIITE,48.75,0.42,7.78,10.21,2.92,28.48,0.14,0.02,0.0,0.03
KOMATIITE,45.55,0.42,8.59,10.35,6.21,27.19,0.19,0.01,0.0,0.02
KOMATIITE,45.1,0.42,8.25,10.26,7.72,26.39,0.19,0.01,0.0,0.03
KOMATIITE,44.44,0.43,8.93,10.82,7.04,26.6,0.19,0.01,0.0,0.03
KOMATIITE,54.25,0.2,3.91,7.36,3.01,30.24,0.08,0.0,0.0,0.02
KOMATIITE,47.92,0.17,3.09,6.49,8.92,31.86,0.13,0.0,0.0,0.01
THOLEIITE,51.08,1.21,14.57,12.61,0.01,5.38,0.21,0.24,2.09,0.09
ANDESITE,53.9,0.87,17.42,6.65,11.8,4.6,0.16,0.45,3.34,0.07
BASALT,50.8,1.33,15.94,12.1,9.42,6.8,0.2,0.14,1.77,0.15
ANDESITE,54.3,1.24,13.56,11.38,7.98,6.3,0.22,0.04,3.58,0.13
ANDESITE,55.4,1.13,13.47,10.64,9.59,5.52,0.21,0.09,2.64,0.13
